Date,CDS
2011-10-18,9.757478713989258
2011-10-19,9.634038925170898
2011-10-20,9.469456672668457
2011-10-21,9.828014373779297
2011-10-22,9.828014373779297
2011-10-23,9.828014373779297
2011-10-24,10.02786636352539
2011-10-25,9.875039100646973
2011-10-26,9.945575714111328
2011-10-27,10.962468147277832
2011-10-28,10.739103317260742
2011-10-29,10.739103317260742
2011-10-30,10.739103317260742
2011-10-31,10.116035461425781
2011-11-01,9.481212615966797
2011-11-02,9.551746368408203
2011-11-03,9.910308837890625
2011-11-04,9.81626033782959
2011-11-05,9.81626033782959
2011-11-06,9.81626033782959
2011-11-07,9.73984432220459
2011-11-08,9.875039100646973
2011-11-09,9.069750785827637
2011-11-10,9.23433780670166
2011-11-11,9.522360801696777
2011-11-12,9.522360801696777
2011-11-13,9.522360801696777
2011-11-14,9.363654136657715
2011-11-15,9.1108980178833
2011-11-16,8.946314811706543
2011-11-17,8.681803703308105
2011-11-18,8.787609100341797
2011-11-19,8.787609100341797
2011-11-20,8.787609100341797
2011-11-21,8.528976440429688
2011-11-22,8.358516693115234
2011-11-23,8.164541244506836
2011-11-24,8.164541244506836
2011-11-25,8.123394966125488
2011-11-26,8.123394966125488
2011-11-27,8.123394966125488
2011-11-28,8.734705924987793
2011-11-29,8.734705924987793
2011-11-30,9.222579002380371
2011-12-01,9.134410858154297
2011-12-02,9.310750007629395
2011-12-03,9.310750007629395
2011-12-04,9.310750007629395
2011-12-05,9.498847961425781
2011-12-06,9.487089157104492
2011-12-07,9.469456672668457
2011-12-08,9.040362358093262
2011-12-09,9.410677909851074
2011-12-10,9.410677909851074
2011-12-11,9.410677909851074
2011-12-12,8.916926383972168
2011-12-13,8.705315589904785
2011-12-14,8.481951713562012
2011-12-15,8.581878662109375
2011-12-16,8.546610832214355
2011-12-17,8.546610832214355
2011-12-18,8.546610832214355
2011-12-19,8.434929847717285
2011-12-20,8.853400230407715
2011-12-21,8.84749698638916
2011-12-22,9.042271614074707
2011-12-23,9.000955581665039
2011-12-24,9.000955581665039
2011-12-25,9.000955581665039
