Date,VIX,Spread,CDS,FSI
2017-11-30,11.279999732971191,3.61,16.258644104003906,-0.5214166397538992
2017-12-01,11.430000305175781,3.63,16.13971519470215,-0.5172110918568809
2017-12-02,11.430000305175781,3.63,16.13971519470215,-0.5172110918568809
2017-12-03,11.430000305175781,3.63,16.13971519470215,-0.5172110918568809
2017-12-04,11.680000305175781,3.58,16.153705596923828,-0.5168562897729722
2017-12-05,11.329999923706055,3.57,16.048768997192383,-0.5437249953467646
2017-12-06,11.020000457763672,3.63,15.887858390808105,-0.5546014546983519
2017-12-07,10.15999984741211,3.63,15.98580551147461,-0.589737480316413
2017-12-08,9.579999923706055,3.63,16.22366714477539,-0.6015566985744846
2017-12-09,9.579999923706055,3.63,16.22366714477539,-0.6015566985744846
2017-12-10,9.579999923706055,3.63,16.22366714477539,-0.6015566985744846
2017-12-11,9.34000015258789,3.61,16.258644104003906,-0.615951604766695
2017-12-12,9.920000076293945,3.58,16.27263069152832,-0.5943984871943487
2017-12-13,10.180000305175781,3.64,16.314613342285156,-0.5634728319107779
2017-12-14,10.489999771118164,3.63,16.230661392211914,-0.5567294504473325
2017-12-15,9.420000076293945,3.64,16.181690216064453,-0.6096963889780537
2017-12-16,9.420000076293945,3.64,16.181690216064453,-0.6096963889780537
2017-12-17,9.420000076293945,3.64,16.181690216064453,-0.6096963889780537
2017-12-18,9.529999732971191,3.64,16.412555694580078,-0.5883760167870887
2017-12-19,10.029999732971191,3.6,16.409740447998047,-0.5744417320594807
2017-12-20,9.720000267028809,3.58,16.339309692382812,-0.5995347099595348
2017-12-21,9.619999885559082,3.57,16.44495391845703,-0.5996632298417611
2017-12-22,9.899999618530273,3.56,16.395654678344727,-0.5919861106141622
2017-12-23,9.899999618530273,3.56,16.395654678344727,-0.5919861106141622
2017-12-24,9.899999618530273,3.56,16.395654678344727,-0.5919861106141622
2017-12-25,9.899999618530273,3.56,16.395654678344727,-0.5919861106141622
2017-12-26,10.25,3.57,16.409740447998047,-0.5713980910589352
2017-12-27,10.470000267028809,3.59,16.381568908691406,-0.5575072769064707
2017-12-28,10.180000305175781,3.55,16.416784286499023,-0.5794400682931061
