Date,mean,mean_se,mean_ci_lower,mean_ci_upper
2025-11-26,0.9569587158420932,0.0785430680133975,0.8030171313005542,1.1109003003836322
2025-11-27,0.9450945610202459,0.10692966220915691,0.7355162742112646,1.1546728478292272
2025-11-28,0.9404731227088546,0.12920206147109398,0.6872417354971803,1.193704509920529
2025-11-29,0.9448009779761841,0.1494520902540431,0.65188026366403,1.2377216922883383
2025-11-30,0.9455260541276584,0.16670792103826437,0.6187845329551132,1.2722675753002037
2025-12-01,0.9390711707451672,0.1808057521087919,0.5846984084142581,1.2934439330760763
2025-12-02,0.9340397778717802,0.1933589069120421,0.5550632842341447,1.3130162715094156
2025-12-03,0.9346569075128269,0.20546653956094502,0.5319498899453006,1.3373639250803533
2025-12-04,0.9353487564282623,0.2167925651253603,0.510443136666502,1.3602543761900225
2025-12-05,0.9319663638830945,0.22686314500210933,0.48732277025947224,1.3766099575067168
2025-12-06,0.9278568149118206,0.23603417638135915,0.465238330083782,1.390475299739859
2025-12-07,0.9266979938365852,0.24484320629315776,0.44681412764268535,1.4065818600304851
2025-12-08,0.9266954969507938,0.253295545851167,0.4302453496380926,1.4231456442634949
2025-12-09,0.9248015155687704,0.26113666079717984,0.41298306536324536,1.4366199657742955
2025-12-10,0.9217765984357991,0.26840687119846673,0.39570879768372313,1.447844399187875
2025-12-11,0.9200089565806626,0.27535643091415957,0.38032026907741834,1.459697644083907
2025-12-12,0.9193758310915505,0.28206716703174267,0.36653434248809114,1.47221731969501
2025-12-13,0.9180899134244013,0.2884354563742322,0.3527668070665322,1.4834130197822704
2025-12-14,0.9159104640783459,0.2944323162268442,0.33883372838902315,1.4929871997676685
2025-12-15,0.914110746530115,0.30016324174364695,0.32580160322977725,1.5024198898304528
2025-12-16,0.9131016700589879,0.30570238048857357,0.3139360143132236,1.512267325804752
2025-12-17,0.9120175488370771,0.31102113225022343,0.30242733119577003,1.5216077664783842
2025-12-18,0.9103938553715561,0.3160901376238071,0.29086856976058506,1.5299191409825272
2025-12-19,0.9087824327845185,0.32094852453851064,0.2797348837977679,1.537829981771269
2025-12-20,0.9076264929511461,0.3256457984166337,0.2693724563377534,1.5458805295645388
2025-12-21,0.9065989969189026,0.330183570944571,0.2594510895807175,1.5537469042570877
2025-12-22,0.9053110713500274,0.33454540289240536,0.24961413048747083,1.561008012212584
2025-12-23,0.903931050407563,0.3387435780287092,0.2400058374770595,1.5678562633380666
2025-12-24,0.9027757152779586,0.34280677656191083,0.23088677956034387,1.5746646509955733
2025-12-25,0.901777946452821,0.3467452681072329,0.22216970915295953,1.5813861837526826
