step,volatility
h.01,1.051732500286708
h.02,1.0435459974175494
h.03,1.0354604315770395
h.04,1.0274748468281447
h.05,1.0195882949785533
h.06,1.0117998354626139
h.07,1.0041085352248398
h.08,0.996513468605011
h.09,0.9890137172248982
h.10,0.9816083698766404
h.11,0.9742965224128033
h.12,0.9670772776381485
h.13,0.9599497452031418
h.14,0.9529130414992282
h.15,0.9459662895559059
h.16,0.9391086189396246
h.17,0.9323391656545379
h.18,0.9256570720451371
h.19,0.9190614867007959
h.20,0.912551564362249
h.21,0.9061264658300366
h.22,0.8997853578749346
h.23,0.8935274131504003
h.24,0.8873518101070542
h.25,0.8812577329092237
h.26,0.8752443713535684
h.27,0.869310920789809
h.28,0.8634565820435799
h.29,0.8576805613414229
h.30,0.8519820702379387
